algorithm_name,size,mean_time,std_time,mean_states,std_states,solved_rate
GA,4,0.00018014907836908666,1.277059438596405e-05,100.0,0.0,1.0
GA,8,0.00593163172403967,0.004128233989937913,413.3333333333333,233.0211376135492,1.0
GA,10,0.04825298786163326,0.058863197130865796,2123.3333333333335,2535.905379140559,0.9333333333333333
GA,12,0.1306452353795369,0.12676726148036832,4130.0,3997.4258958864325,0.7333333333333333
GA,15,0.3084952672322591,0.18601414932037397,6266.666666666667,3799.3949911598525,0.5333333333333333
HC,4,2.6949246724446614e-05,8.962999858093979e-06,26.6,9.312949827136332,0.3
HC,8,0.00062237580617264,0.00012285528102596907,238.06666666666666,48.06815085310419,0.1
HC,10,0.0019884347915648864,0.0006474395409990333,442.0,111.73706821728008,0.03333333333333333
HC,12,0.004519788424173951,0.0011041006680730155,797.4,194.50478231865554,0.06666666666666667
HC,15,0.014190649986267043,0.002601768699027898,1548.0,289.1145817479816,0.03333333333333333
SA,4,7.255872090656249e-05,4.9339531043410326e-05,43.2,29.300347179301244,1.0
SA,8,0.002687764167785593,0.0031462349437991095,743.3666666666667,843.374154434327,1.0
SA,10,0.009081761042276974,0.007940327845103255,1575.4333333333334,1420.2670871531786,1.0
SA,12,0.014229257901509548,0.011990439534420999,2173.1666666666665,1831.1140020505952,1.0
SA,15,0.02963520685831701,0.024530303068355023,2903.0666666666666,2433.9524254174326,1.0
random,4,0.0002940575281778674,0.0003004767641342164,151.73333333333332,157.30816085398865,1.0
random,8,0.04956677754720047,0.0013212532535071253,10000.0,0.0,0.0
random,10,0.06769080162048335,0.001098380013904525,10000.0,0.0,0.0
random,12,0.09083647727966306,0.002144188880871228,10000.0,0.0,0.0
random,15,0.12860165437062576,0.0026385752578584,10000.0,0.0,0.0
