algorithm_name,env_n,size,best_solution,H,states,time
GA,1,4,"[2, 0, 3, 1]",0,100,0.0006556510925292969
GA,2,4,"[1, 3, 0, 2]",0,100,0.0004978179931640625
GA,3,4,"[2, 0, 3, 1]",0,100,0.0005044937133789062
GA,4,4,"[2, 0, 3, 1]",0,100,0.0004830360412597656
GA,5,4,"[1, 3, 0, 2]",0,100,0.0004723072052001953
GA,6,4,"[1, 3, 0, 2]",0,100,0.0004818439483642578
GA,7,4,"[1, 3, 0, 2]",0,100,0.0004684925079345703
GA,8,4,"[2, 0, 3, 1]",0,100,0.00047898292541503906
GA,9,4,"[1, 3, 0, 2]",0,100,0.0004665851593017578
GA,10,4,"[1, 3, 0, 2]",0,100,0.0004787445068359375
GA,11,4,"[1, 3, 0, 2]",0,100,0.00046825408935546875
GA,12,4,"[2, 0, 3, 1]",0,100,0.0004761219024658203
GA,13,4,"[1, 3, 0, 2]",0,100,0.0005061626434326172
GA,14,4,"[1, 3, 0, 2]",0,100,0.0004825592041015625
GA,15,4,"[1, 3, 0, 2]",0,100,0.00046896934509277344
GA,16,4,"[1, 3, 0, 2]",0,100,0.00047850608825683594
GA,17,4,"[2, 0, 3, 1]",0,100,0.00046825408935546875
GA,18,4,"[1, 3, 0, 2]",0,100,0.00048279762268066406
GA,19,4,"[2, 0, 3, 1]",0,100,0.00047326087951660156
GA,20,4,"[2, 0, 3, 1]",0,100,0.00047969818115234375
GA,21,4,"[1, 3, 0, 2]",0,100,0.000476837158203125
GA,22,4,"[1, 3, 0, 2]",0,100,0.0004813671112060547
GA,23,4,"[1, 3, 0, 2]",0,100,0.0005338191986083984
GA,24,4,"[1, 3, 0, 2]",0,100,0.00048089027404785156
GA,25,4,"[1, 3, 0, 2]",0,100,0.0005042552947998047
GA,26,4,"[2, 0, 3, 1]",0,100,0.0006237030029296875
GA,27,4,"[1, 3, 0, 2]",0,100,0.0004711151123046875
GA,28,4,"[2, 0, 3, 1]",0,100,0.0004820823669433594
GA,29,4,"[2, 0, 3, 1]",0,100,0.00046944618225097656
random,0,8,"[2, 0, 5, 7, 0, 3, 6, 4]",1,10000,0.14052581787109375
random,1,8,"[6, 2, 5, 1, 4, 0, 3, 3]",1,10000,0.1470324993133545
random,2,8,"[0, 7, 4, 2, 0, 6, 3, 5]",1,10000,0.1353764533996582
random,3,8,"[2, 4, 6, 0, 5, 7, 1, 3]",1,10000,0.12922906875610352
random,4,8,"[2, 7, 5, 3, 1, 0, 4, 6]",1,10000,0.13674569129943848
random,5,8,"[1, 1, 6, 0, 2, 7, 5, 3]",1,10000,0.1382427215576172
random,6,8,"[5, 2, 0, 3, 0, 7, 1, 4]",1,10000,0.13873744010925293
random,7,8,"[2, 6, 1, 4, 7, 0, 3, 5]",1,10000,0.20354628562927246
random,8,8,"[7, 6, 3, 0, 4, 1, 5, 2]",1,10000,0.135514497756958
random,9,8,"[2, 6, 3, 1, 7, 5, 0, 2]",1,10000,0.15485453605651855
random,10,8,"[7, 5, 0, 5, 1, 4, 6, 3]",1,10000,0.17424917221069336
random,11,8,"[6, 1, 3, 0, 6, 4, 2, 5]",1,10000,0.1817338466644287
random,12,8,"[2, 5, 3, 6, 0, 2, 4, 7]",1,10000,0.1642162799835205
random,13,8,"[3, 6, 2, 1, 5, 7, 2, 4]",2,10000,0.2273867130279541
random,14,8,"[4, 2, 0, 3, 1, 7, 5, 2]",1,10000,0.23792433738708496
random,15,8,"[5, 1, 6, 4, 2, 7, 5, 3]",1,10000,0.21092796325683594
random,16,8,"[3, 0, 6, 4, 1, 7, 0, 2]",1,10000,0.17522144317626953
random,17,8,"[5, 1, 6, 4, 0, 7, 3, 2]",1,10000,0.1668989658355713
random,18,8,"[3, 6, 2, 7, 5, 7, 0, 4]",1,10000,0.1344165802001953
random,19,8,"[6, 2, 0, 5, 1, 4, 1, 7]",1,10000,0.1574115753173828
random,20,8,"[2, 5, 1, 6, 0, 6, 4, 7]",1,10000,0.1282801628112793
random,21,8,"[5, 2, 0, 3, 6, 7, 1, 4]",1,10000,0.21588540077209473
random,22,8,"[6, 3, 1, 7, 4, 0, 2, 5]",1,10000,0.12262701988220215
random,23,8,"[4, 2, 3, 5, 7, 1, 6, 0]",1,10000,0.1968517303466797
random,24,8,"[1, 5, 2, 0, 7, 3, 4, 6]",1,10000,0.19828462600708008
random,25,8,"[7, 2, 4, 6, 0, 5, 3, 1]",1,10000,0.13598942756652832
random,26,8,"[1, 5, 0, 2, 7, 4, 6, 3]",1,10000,0.14438724517822266
random,27,8,"[5, 7, 5, 0, 2, 4, 6, 3]",1,10000,0.23681879043579102
random,28,8,"[0, 3, 6, 2, 7, 1, 4, 0]",1,10000,0.16161870956420898
random,29,8,"[6, 3, 6, 0, 7, 4, 1, 5]",1,10000,0.1212158203125
HC,0,8,"[6, 2, 0, 5, 7, 4, 1, 3]",0,281,0.0016620159149169922
HC,1,8,"[5, 1, 4, 1, 7, 0, 3, 6]",2,225,0.0014328956604003906
HC,2,8,"[0, 6, 1, 5, 2, 4, 7, 3]",1,169,0.0013117790222167969
HC,3,8,"[6, 2, 5, 7, 0, 3, 6, 4]",1,281,0.001928567886352539
HC,4,8,"[0, 4, 1, 3, 6, 2, 7, 5]",1,337,0.0021791458129882812
HC,5,8,"[4, 5, 0, 6, 3, 7, 2, 1]",2,169,0.0010585784912109375
HC,6,8,"[1, 7, 4, 6, 0, 2, 5, 5]",1,169,0.0010097026824951172
HC,7,8,"[5, 2, 6, 1, 7, 1, 3, 0]",1,281,0.0018992424011230469
HC,8,8,"[2, 5, 6, 1, 3, 0, 4, 7]",2,281,0.0018267631530761719
HC,9,8,"[7, 2, 4, 6, 0, 3, 5, 7]",1,281,0.0017299652099609375
HC,10,8,"[0, 5, 7, 1, 3, 7, 2, 4]",1,225,0.0014507770538330078
HC,11,8,"[4, 4, 7, 0, 2, 7, 5, 1]",2,281,0.0017044544219970703
HC,12,8,"[7, 2, 6, 1, 6, 0, 5, 7]",2,225,0.0015468597412109375
HC,13,8,"[4, 4, 1, 3, 6, 3, 7, 2]",2,225,0.0014123916625976562
HC,14,8,"[0, 3, 5, 2, 4, 1, 7, 4]",2,225,0.0013396739959716797
HC,15,8,"[4, 7, 0, 5, 3, 6, 0, 2]",2,281,0.0016453266143798828
HC,16,8,"[5, 7, 1, 4, 6, 3, 0, 2]",1,225,0.0012962818145751953
HC,17,8,"[6, 4, 2, 7, 5, 3, 1, 0]",1,281,0.0018913745880126953
HC,18,8,"[6, 1, 7, 5, 3, 0, 7, 4]",1,225,0.0013892650604248047
HC,19,8,"[0, 5, 3, 6, 3, 7, 2, 4]",1,225,0.0014529228210449219
HC,20,8,"[7, 4, 1, 5, 2, 0, 6, 3]",1,169,0.00103759765625
HC,21,8,"[2, 6, 1, 4, 7, 3, 0, 2]",2,169,0.0009922981262207031
HC,22,8,"[3, 6, 0, 7, 5, 1, 5, 1]",2,225,0.0013256072998046875
HC,23,8,"[3, 1, 0, 4, 6, 7, 5, 2]",2,169,0.0012066364288330078
HC,24,8,"[6, 2, 7, 2, 0, 5, 1, 4]",1,337,0.0021314620971679688
HC,25,8,"[6, 0, 2, 4, 7, 0, 3, 1]",1,225,0.0013473033905029297
HC,26,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,225,0.001348733901977539
HC,27,8,"[7, 2, 6, 3, 1, 4, 0, 5]",1,281,0.0016884803771972656
HC,28,8,"[1, 7, 5, 0, 2, 4, 6, 3]",0,225,0.0015506744384765625
HC,29,8,"[3, 7, 4, 1, 5, 0, 6, 0]",1,225,0.0014154911041259766
SA,0,8,"[5, 2, 0, 6, 0, 7, 4, 1]",2,89,0.0011055469512939453
SA,1,8,"[5, 2, 4, 7, 0, 6, 3, 1]",1,89,0.0010628700256347656
SA,2,8,"[2, 0, 6, 6, 0, 5, 7, 4]",2,89,0.001005411148071289
SA,3,8,"[7, 0, 4, 1, 5, 0, 6, 3]",1,89,0.001405477523803711
SA,4,8,"[4, 2, 5, 0, 6, 3, 1, 7]",2,89,0.0010983943939208984
SA,5,8,"[4, 6, 0, 3, 1, 7, 5, 2]",0,66,0.0008320808410644531
SA,6,8,"[1, 6, 4, 0, 3, 5, 2, 7]",2,89,0.001192331314086914
SA,7,8,"[5, 1, 6, 0, 1, 4, 7, 3]",3,89,0.0010528564453125
SA,8,8,"[2, 4, 6, 7, 3, 1, 3, 5]",2,89,0.0010485649108886719
SA,9,8,"[0, 2, 6, 6, 3, 7, 4, 4]",2,89,0.0011036396026611328
SA,10,8,"[3, 0, 0, 3, 5, 7, 2, 4]",2,89,0.0010733604431152344
SA,11,8,"[4, 1, 5, 0, 2, 7, 7, 3]",1,89,0.0010750293731689453
SA,12,8,"[4, 0, 5, 3, 1, 7, 4, 2]",1,89,0.0011429786682128906
SA,13,8,"[3, 5, 0, 4, 7, 4, 6, 1]",2,89,0.0011429786682128906
SA,14,8,"[0, 2, 6, 7, 3, 1, 3, 5]",2,89,0.0010914802551269531
SA,15,8,"[5, 2, 6, 1, 6, 4, 0, 7]",1,89,0.0010554790496826172
SA,16,8,"[3, 6, 6, 5, 2, 4, 7, 0]",3,89,0.0010466575622558594
SA,17,8,"[7, 4, 6, 2, 0, 5, 0, 5]",3,89,0.001018524169921875
SA,18,8,"[3, 1, 6, 2, 0, 7, 0, 4]",1,89,0.0010514259338378906
SA,19,8,"[4, 6, 0, 2, 6, 1, 7, 7]",2,89,0.0010657310485839844
SA,20,8,"[6, 0, 5, 1, 4, 7, 3, 3]",1,89,0.001112222671508789
SA,21,8,"[6, 1, 1, 4, 7, 0, 2, 5]",1,89,0.0011904239654541016
SA,22,8,"[1, 6, 0, 2, 4, 7, 3, 6]",2,89,0.0010571479797363281
SA,23,8,"[4, 0, 5, 3, 6, 3, 7, 2]",1,89,0.0010533332824707031
SA,24,8,"[1, 7, 5, 0, 2, 7, 3, 6]",2,89,0.0010497570037841797
SA,25,8,"[7, 1, 6, 4, 2, 0, 5, 3]",1,89,0.00104522705078125
SA,26,8,"[0, 2, 6, 1, 7, 0, 3, 5]",2,89,0.0011010169982910156
SA,27,8,"[3, 0, 6, 1, 6, 5, 7, 2]",2,89,0.0011148452758789062
SA,28,8,"[0, 4, 1, 5, 3, 6, 4, 2]",2,89,0.001100301742553711
SA,29,8,"[4, 7, 7, 0, 2, 6, 1, 3]",1,89,0.0011141300201416016
GA,0,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,500,0.016640186309814453
GA,1,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,400,0.012805461883544922
GA,2,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,300,0.008779287338256836
GA,3,8,"[3, 7, 4, 2, 0, 6, 1, 5]",0,900,0.032006263732910156
GA,4,8,"[3, 0, 4, 7, 5, 2, 6, 1]",0,200,0.004950523376464844
GA,5,8,"[5, 3, 6, 0, 2, 4, 1, 7]",0,100,0.0011513233184814453
GA,6,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,100,0.0010945796966552734
GA,7,8,"[5, 2, 6, 1, 7, 4, 0, 3]",0,400,0.012864351272583008
GA,8,8,"[3, 5, 0, 4, 1, 7, 2, 6]",0,500,0.016520023345947266
GA,9,8,"[7, 1, 4, 2, 0, 6, 3, 5]",0,400,0.012495279312133789
GA,10,8,"[3, 1, 6, 2, 5, 7, 4, 0]",0,200,0.004943132400512695
GA,11,8,"[6, 2, 0, 5, 7, 4, 1, 3]",0,700,0.02483820915222168
GA,12,8,"[2, 5, 7, 0, 4, 6, 1, 3]",0,100,0.0010752677917480469
GA,13,8,"[4, 0, 7, 5, 2, 6, 1, 3]",0,700,0.025316238403320312
GA,14,8,"[0, 6, 3, 5, 7, 1, 4, 2]",0,200,0.00780487060546875
